"Aasta","Puuliik","Puitne biomass metsamaal","Seotud süsiniku kogus puitses biomassis metsamaal"
"1989","Kokku",235592,116810
"1989","Mänd",77356,39452
"1989","Kuusk",46840,23888
"1989","Kask",70422,33802
"1989","Haab",14221,6826
"1989","Hall lepp",16957,8139
"1989","Sanglepp",6470,3106
"1989","Muu puu",3326,1596
"1990","Kokku",238911,118456
"1990","Mänd",78446,40008
"1990","Kuusk",47500,24225
"1990","Kask",71414,34279
"1990","Haab",14422,6922
"1990","Hall lepp",17196,8254
"1990","Sanglepp",6562,3150
"1990","Muu puu",3373,1619
"1991","Kokku",242230,120101
"1991","Mänd",79536,40563
"1991","Kuusk",48160,24562
"1991","Kask",72406,34755
"1991","Haab",14622,7019
"1991","Hall lepp",17435,8369
"1991","Sanglepp",6653,3193
"1991","Muu puu",3419,1641
"1992","Kokku",245549,121747
"1992","Mänd",80626,41119
"1992","Kuusk",48820,24898
"1992","Kask",73398,35231
"1992","Haab",14822,7115
"1992","Hall lepp",17673,8483
"1992","Sanglepp",6744,3237
"1992","Muu puu",3466,1664
"1993","Kokku",248868,123393
"1993","Mänd",81716,41675
"1993","Kuusk",49480,25235
"1993","Kask",74390,35707
"1993","Haab",15023,7211
"1993","Hall lepp",17912,8598
"1993","Sanglepp",6835,3281
"1993","Muu puu",3513,1686
"1994","Kokku",252187,125038
"1994","Mänd",82805,42231
"1994","Kuusk",50140,25571
"1994","Kask",75382,36183
"1994","Haab",15223,7307
"1994","Hall lepp",18151,8713
"1994","Sanglepp",6926,3325
"1994","Muu puu",3560,1709
"1995","Kokku",255506,126684
"1995","Mänd",83895,42787
"1995","Kuusk",50799,25908
"1995","Kask",76374,36660
"1995","Haab",15423,7403
"1995","Hall lepp",18390,8827
"1995","Sanglepp",7017,3368
"1995","Muu puu",3607,1731
"1996","Kokku",258825,128329
"1996","Mänd",84985,43342
"1996","Kuusk",51459,26244
"1996","Kask",77366,37136
"1996","Haab",15624,7499
"1996","Hall lepp",18629,8942
"1996","Sanglepp",7108,3412
"1996","Muu puu",3654,1754
"1997","Kokku",262144,129975
"1997","Mänd",86075,43898
"1997","Kuusk",52119,26581
"1997","Kask",78359,37612
"1997","Haab",15824,7596
"1997","Hall lepp",18868,9057
"1997","Sanglepp",7200,3456
"1997","Muu puu",3700,1776
"1998","Kokku",265463,131621
"1998","Mänd",87164,44454
"1998","Kuusk",52779,26917
"1998","Kask",79351,38088
"1998","Haab",16024,7692
"1998","Hall lepp",19107,9171
"1998","Sanglepp",7291,3500
"1998","Muu puu",3747,1799
"1999","Kokku",272836,135198
"1999","Mänd",89370,45579
"1999","Kuusk",51864,26451
"1999","Kask",79569,38193
"1999","Haab",19210,9221
"1999","Hall lepp",22239,10675
"1999","Sanglepp",6592,3164
"1999","Muu puu",3992,1916
"2000","Kokku",282775,140325
"2000","Mänd",96590,49261
"2000","Kuusk",56519,28825
"2000","Kask",82841,39764
"2000","Haab",17210,8261
"2000","Hall lepp",18875,9060
"2000","Sanglepp",7448,3575
"2000","Muu puu",3291,1580
"2001","Kokku",280316,139024
"2001","Mänd",92506,47178
"2001","Kuusk",56590,28861
"2001","Kask",83550,40104
"2001","Haab",17288,8298
"2001","Hall lepp",19245,9238
"2001","Sanglepp",7822,3755
"2001","Muu puu",3314,1591
"2002","Kokku",279278,138517
"2002","Mänd",92901,47380
"2002","Kuusk",55882,28500
"2002","Kask",83602,40129
"2002","Haab",17291,8300
"2002","Hall lepp",18952,9097
"2002","Sanglepp",7257,3484
"2002","Muu puu",3392,1628
"2003","Kokku",281235,139432
"2003","Mänd",92014,46927
"2003","Kuusk",55962,28541
"2003","Kask",84297,40463
"2003","Haab",16782,8055
"2003","Hall lepp",20435,9809
"2003","Sanglepp",7827,3757
"2003","Muu puu",3918,1881
"2004","Kokku",286258,142008
"2004","Mänd",96768,49352
"2004","Kuusk",56693,28914
"2004","Kask",84300,40464
"2004","Haab",16318,7833
"2004","Hall lepp",20429,9806
"2004","Sanglepp",8073,3875
"2004","Muu puu",3676,1764
"2005","Kokku",287068,142373
"2005","Mänd",96700,49317
"2005","Kuusk",55987,28553
"2005","Kask",84635,40625
"2005","Haab",16177,7765
"2005","Hall lepp",21025,10092
"2005","Sanglepp",7961,3821
"2005","Muu puu",4583,2200
"2006","Kokku",290334,144061
"2006","Mänd",101136,51579
"2006","Kuusk",55548,28330
"2006","Kask",83058,39868
"2006","Haab",16045,7702
"2006","Hall lepp",21514,10327
"2006","Sanglepp",7632,3663
"2006","Muu puu",5400,2592
"2007","Kokku",293204,145546
"2007","Mänd",105921,54020
"2007","Kuusk",54344,27715
"2007","Kask",82611,39653
"2007","Haab",15868,7617
"2007","Hall lepp",20433,9808
"2007","Sanglepp",8148,3911
"2007","Muu puu",5878,2821
"2008","Kokku",293918,145928
"2008","Mänd",107391,54769
"2008","Kuusk",54185,27634
"2008","Kask",82477,39589
"2008","Haab",16074,7716
"2008","Hall lepp",19289,9259
"2008","Sanglepp",8433,4048
"2008","Muu puu",6069,2913
"2009","Kokku",298001,147878
"2009","Mänd",108147,55155
"2009","Kuusk",53105,27084
"2009","Kask",85402,40993
"2009","Haab",16349,7847
"2009","Hall lepp",19415,9319
"2009","Sanglepp",8650,4152
"2009","Muu puu",6933,3328
"2010","Kokku",302238,149956
"2010","Mänd",108320,55243
"2010","Kuusk",54400,27744
"2010","Kask",87788,42138
"2010","Haab",16496,7918
"2010","Hall lepp",19852,9529
"2010","Sanglepp",8692,4172
"2010","Muu puu",6691,3212
"2011","Kokku",308884,153183
"2011","Mänd",108310,55238
"2011","Kuusk",55639,28376
"2011","Kask",92373,44339
"2011","Haab",17117,8216
"2011","Hall lepp",19462,9342
"2011","Sanglepp",9320,4474
"2011","Muu puu",6663,3198
"2012","Kokku",314137,155760
"2012","Mänd",109475,55833
"2012","Kuusk",56342,28734
"2012","Kask",94127,45181
"2012","Haab",16988,8154
"2012","Hall lepp",20610,9893
"2012","Sanglepp",9713,4662
"2012","Muu puu",6881,3303
"2013","Kokku",320244,158807
"2013","Mänd",112043,57142
"2013","Kuusk",57644,29398
"2013","Kask",95320,45754
"2013","Haab",17259,8284
"2013","Hall lepp",21121,10138
"2013","Sanglepp",9875,4740
"2013","Muu puu",6981,3351
"2014","Kokku",323583,160569
"2014","Mänd",114540,58416
"2014","Kuusk",60437,30823
"2014","Kask",94050,45144
"2014","Haab",17052,8185
"2014","Hall lepp",20869,10017
"2014","Sanglepp",9728,4670
"2014","Muu puu",6907,3315
"2015","Kokku",326123,161817
"2015","Mänd",115077,58689
"2015","Kuusk",60875,31046
"2015","Kask",95027,45613
"2015","Haab",17370,8337
"2015","Hall lepp",20605,9890
"2015","Sanglepp",10329,4958
"2015","Muu puu",6840,3283
"2016","Kokku",326423,161985
"2016","Mänd",114127,58205
"2016","Kuusk",62596,31924
"2016","Kask",94266,45247
"2016","Haab",17778,8533
"2016","Hall lepp",20287,9738
"2016","Sanglepp",10531,5055
"2016","Muu puu",6839,3283
"2017","Kokku",327398,162449
"2017","Mänd",112911,57584
"2017","Kuusk",63676,32475
"2017","Kask",94766,45488
"2017","Haab",18436,8849
"2017","Hall lepp",19940,9571
"2017","Sanglepp",10813,5190
"2017","Muu puu",6857,3291
"2018","Kokku",323895,160711
