"Maakond","Aasta","Heitvesi","Puhastamist vajav heitvesi","Puhastamata heitvesi","Puhastatud heitvesi","I astme puhastusega heitvesi","II astme puhastusega heitvesi","III astme puhastusega heitvesi","Määratlemata puhastusega heitvesi","Ebapiisavalt puhastatud heitvesi"
"Kogu Eesti","1994",1961784,379862,20404,359458,187404,87945,83915,194,29670
"Kogu Eesti","1995",1848984,396974,18688,378286,203867,89565,84724,130,26437
"Kogu Eesti","1996",1691506,316262,15156,301106,139413,84836,76786,71,24515
"Kogu Eesti","1997",1686384,349603,10071,339532,185131,82306,72095,..,29518
"Kogu Eesti","1998",1670588,327590,8625,318965,172641,73575,72749,..,25483
"Kogu Eesti","1999",1532237,311945,6823,305122,171526,64403,69193,..,23291
"Kogu Eesti","2000",1495188,282338,7509,274829,152040,58490,64299,..,18626
"Kogu Eesti","2001",1508565,305060,7727,297333,176682,56562,64089,..,6847
"Kogu Eesti","2002",1427226,277927,6693,271234,161058,50674,59502,..,24777
"Kogu Eesti","2003",1627376,303503,2392,301111,189038,53986,58087,..,12817
"Kogu Eesti","2004",1808171,356559,2309,354250,232077,51339,70834,..,8103
"Kogu Eesti","2005",1619735,326080,1879,324201,210740,46085,67376,..,4641
"Kogu Eesti","2006",1614981,263906,941,262964,160907,23703,78354,..,..
"Kogu Eesti","2007",1880234,301270,1143,300127,191937,23814,84375,..,..
"Kogu Eesti","2008",1659040,384849,1911,382938,267785,24303,90849,..,..
"Kogu Eesti","2009",1478187,379336,1981,377355,265656,28207,83493,..,..
"Kogu Eesti","2010",1899355,359453,1334,358119,246693,18764,92661,..,..
"Kogu Eesti","2011",1933015,357613,429,357184,244902,17110,95172,..,..
"Kogu Eesti","2012",1698545,361435,1610,359825,239303,11627,108895,..,..
"Kogu Eesti","2013",1795729,284721,1256,283465,180976,10619,91870,..,..
"Kogu Eesti","2014",1762124,265352,777,264575,169066,9855,85654,..,..
"Kogu Eesti","2015",1641669,258444,630,257815,158784,10419,88611,..,..
"Kogu Eesti","2016",1820069,301873,397,301476,185141,11592,104743,..,..
"Kogu Eesti","2017",1870585,338359,426,337933,219686,11823,106424,..,..
"Kogu Eesti","2018",1658809,280765,532,280232,179284,9031,91917,..,..
"Kogu Eesti","2019",1065559,139406,2929,136477,25887,7545,103038,..,..
"Kogu Eesti","2020",923137,302625,3967,298658,185116,6713,106828,..,..
"Kogu Eesti","2021",1067579,382318,1151,381167,288635,8631,82225,..,..
"Kogu Eesti","2022",1261337,438334,940,437395,330979,7316,97538,..,..
"Kogu Eesti","2023",876603,403802,0,403802,289284,4641,108701,..,..
"Harju maakond","1994",210610,97951,1122,96829,6381,6626,83822,..,1243
"Harju maakond","1995",206541,95935,776,95159,3609,7072,84403,75,1388
"Harju maakond","1996",160504,89990,567,89423,2193,10571,76659,..,1628
"Harju maakond","1997",155249,83664,390,83274,1945,14090,67239,..,1741
"Harju maakond","1998",153227,80814,430,80384,905,14844,64635,..,1351
"Harju maakond","1999",77025,72074,489,71585,1052,14233,56300,..,1280
"Harju maakond","2000",81455,67600,325,67275,731,13286,53258,..,1768
"Harju maakond","2001",84893,64256,271,63985,417,12106,51462,..,871
"Harju maakond","2002",77380,60486,491,59995,618,12705,46672,..,1082
"Harju maakond","2003",77014,59469,113,59356,650,13110,45596,..,470
"Harju maakond","2004",92476,67664,863,66801,968,12536,53297,..,1412
"Harju maakond","2005",67296,60893,478,60415,847,12074,47494,..,572
"Harju maakond","2006",60403,56314,261,56053,2122,11275,42656,..,..
"Harju maakond","2007",66688,61106,172,60934,2535,10823,47576,..,..
"Harju maakond","2008",72938,64406,349,64057,1105,10778,52174,..,..
"Harju maakond","2009",67765,58139,275,57865,1196,9627,47042,..,..
"Harju maakond","2010",67764,58627,292,58335,1003,10881,46451,..,..
"Harju maakond","2011",75604,64569,385,64184,1978,10784,51422,..,..
"Harju maakond","2012",81652,72723,1582,71141,3830,8383,58927,..,..
"Harju maakond","2013",64862,58252,446,57806,3263,7413,47129,..,..
"Harju maakond","2014",62987,56663,335,56329,3775,7248,45306,..,..
"Harju maakond","2015",68084,61378,251,61127,6428,7101,47598,..,..
"Harju maakond","2016",81715,70134,387,69747,7549,7417,54781,..,..
"Harju maakond","2017",87061,73460,409,73051,8810,7901,56340,..,..
"Harju maakond","2018",70885,61153,246,60907,6442,6407,48058,..,..
"Harju maakond","2019",76942,66899,1305,65594,5702,5428,54457,..,..
"Harju maakond","2020",81932,74074,2284,71790,8379,5895,57517,..,..
"Harju maakond","2021",77581,48984,191,48793,7303,7064,34426,..,..
"Harju maakond","2022",72545,63468,153,63315,6714,5862,50739,..,..
"Harju maakond","2023",81590,69628,0,69628,7947,2909,58772,..,..
"Hiiu maakond","1994",513,495,7,488,6,482,..,..,278
"Hiiu maakond","1995",812,458,8,450,6,444,..,..,206
"Hiiu maakond","1996",391,383,11,372,5,367,..,..,255
"Hiiu maakond","1997",486,454,5,449,3,145,301,..,98
"Hiiu maakond","1998",436,404,5,399,1,333,65,..,215
"Hiiu maakond","1999",331,315,4,311,1,254,56,..,160
"Hiiu maakond","2000",307,293,..,293,..,228,65,..,117
"Hiiu maakond","2001",316,316,0,316,4,151,161,..,44
"Hiiu maakond","2002",329,329,0,329,11,285,33,..,82
"Hiiu maakond","2003",274,274,..,274,11,231,32,..,121
"Hiiu maakond","2004",311,310,..,310,4,304,2,..,98
"Hiiu maakond","2005",271,261,1,260,16,242,2,..,2
"Hiiu maakond","2006",222,220,0,206,3,101,116,..,..
"Hiiu maakond","2007",331,325,..,325,2,323,..,..,..
"Hiiu maakond","2008",305,289,..,289,4,111,174,..,..
"Hiiu maakond","2009",231,217,..,217,11,85,121,..,..
"Hiiu maakond","2010",309,272,0,272,15,118,138,..,..
"Hiiu maakond","2011",298,250,0,250,14,100,135,..,..
"Hiiu maakond","2012",1781,1754,0,1754,1531,13,211,..,..
"Hiiu maakond","2013",2323,2297,0,2297,2060,7,230,..,..
"Hiiu maakond","2014",2270,2260,0,2260,2084,14,161,..,..
"Hiiu maakond","2015",2274,2274,0,2274,2082,14,178,..,..
"Hiiu maakond","2016",2344,2343,0,2343,2085,18,241,..,..
"Hiiu maakond","2017",1318,1318,0,1318,1044,18,256,..,..
"Hiiu maakond","2018",710,710,0,710,415,17,277,..,..
"Hiiu maakond","2019",875,875,0,875,548,18,309,..,..
"Hiiu maakond","2020",925,925,0,925,546,17,362,..,..
"Hiiu maakond","2021",906,906,0,906,549,21,336,..,..
"Hiiu maakond","2022",360,360,0,360,29,19,311,..,..
"Hiiu maakond","2023",384,384,0,384,15,20,350,..,..
"Ida-Viru maakond","1994",1641242,233030,7726,225304,175336,49832,..,136,17214
"Ida-Viru maakond","1995",1545316,252806,7752,245054,194141,50860,..,53,16859
"Ida-Viru maakond","1996",1440160,183251,5646,177605,132543,45017,..,45,14595
"Ida-Viru maakond","1997",1450856,224170,4299,219871,177141,39013,3717,..,14695
"Ida-Viru maakond","1998",1437604,208382,4046,204336,168220,33446,2670,..,12941
"Ida-Viru maakond","1999",1372091,198092,4236,193856,166861,25551,1444,..,10517
"Ida-Viru maakond","2000",1334558,178196,5259,172937,147741,23530,1666,..,9433
"Ida-Viru maakond","2001",1331594,203579,6166,197413,172955,22531,1927,..,148
"Ida-Viru maakond","2002",1280127,183773,5049,178724,157809,19227,1688,..,17964
"Ida-Viru maakond","2003",1459533,209928,1286,208642,185909,20970,1763,..,8520
"Ida-Viru maakond","2004",1593937,250793,1071,249722,228631,19344,1747,..,1050
"Ida-Viru maakond","2005",1500149,226293,1040,225253,207733,15834,1686,..,937
"Ida-Viru maakond","2006",1505434,173505,579,172926,156560,7020,9346,..,..
"Ida-Viru maakond","2007",1759489,203071,873,202198,186508,6906,8785,..,..
"Ida-Viru maakond","2008",1527680,283076,1318,281758,263225,7846,10687,..,..
"Ida-Viru maakond","2009",1353444,280210,1393,278817,261872,593,16353,..,..
"Ida-Viru maakond","2010",1774819,256977,964,256014,240154,575,15285,..,..
"Ida-Viru maakond","2011",1797982,249431,0,249431,234140,535,14756,..,..
"Ida-Viru maakond","2012",1549960,226353,0,226353,210389,375,15589,..,..
"Ida-Viru maakond","2013",1662388,164676,0,164676,149105,308,15264,..,..
"Ida-Viru maakond","2014",1633348,147641,0,147641,134723,277,12642,..,..
"Ida-Viru maakond","2015",1500836,130155,0,130155,117293,1334,11529,..,..
"Ida-Viru maakond","2016",1663787,165466,0,165466,147421,2092,15952,..,..
"Ida-Viru maakond","2017",1702339,192529,0,192529,176334,1557,14639,..,..
"Ida-Viru maakond","2018",1516444,158293,0,158293,145772,1271,11249,..,..
"Ida-Viru maakond","2019",900488,19063,4,19059,4290,1127,13643,..,..
"Ida-Viru maakond","2020",761246,163467,3,163464,150059,48,13357,..,..
"Ida-Viru maakond","2021",909794,269553,0,269553,255186,606,13761,..,..
"Ida-Viru maakond","2022",1109900,311468,1,311467,298786,296,12385,..,..
"Ida-Viru maakond","2023",702647,260852,0,260852,248134,245,12475,..,..
"Jõgeva maakond","1994",4980,2965,1174,1791,319,1472,..,..,792
"Jõgeva maakond","1995",4730,2909,926,1983,144,1839,..,..,690
"Jõgeva maakond","1996",7360,2311,804,1507,179,1321,..,7,505
"Jõgeva maakond","1997",7797,1948,366,1582,64,1518,..,..,578
"Jõgeva maakond","1998",7618,1769,265,1504,6,1423,75,..,475
"Jõgeva maakond","1999",7012,1558,331,1227,34,1125,68,..,464
"Jõgeva maakond","2000",6195,1451,402,1049,8,981,60,..,326
"Jõgeva maakond","2001",16223,1279,59,1220,1,1172,47,..,548
"Jõgeva maakond","2002",11790,1074,14,1060,3,1034,23,..,234
"Jõgeva maakond","2003",28101,1194,14,1180,3,1135,42,..,168
"Jõgeva maakond","2004",30182,1316,11,1306,3,1251,52,..,540
"Jõgeva maakond","2005",1508,1158,33,1125,2,1086,37,..,512
"Jõgeva maakond","2006",1117,1117,29,1088,0,705,383,..,..
"Jõgeva maakond","2007",1609,1259,..,1259,0,707,551,..,..
"Jõgeva maakond","2008",2654,2645,..,2645,1059,808,778,..,..
"Jõgeva maakond","2009",2750,1826,..,1826,300,1492,34,..,..
"Jõgeva maakond","2010",2741,2730,0,2730,1249,1397,85,..,..
"Jõgeva maakond","2011",3065,2823,4,2820,930,1808,82,..,..
"Jõgeva maakond","2012",2538,2512,0,2512,1097,213,1202,..,..
"Jõgeva maakond","2013",5133,2886,723,2163,1033,233,898,..,..
"Jõgeva maakond","2014",5408,5396,443,4953,3882,250,821,..,..
"Jõgeva maakond","2015",5566,5563,377,5186,4084,162,940,..,..
"Jõgeva maakond","2016",4775,4207,0,4207,2963,155,1089,..,..
"Jõgeva maakond","2017",4524,4088,0,4088,2969,139,980,..,..
"Jõgeva maakond","2018",4144,3845,0,3845,2790,34,1021,..,..
"Jõgeva maakond","2019",4499,2349,2,2348,1200,24,1124,..,..
"Jõgeva maakond","2020",4108,3548,0,3548,2242,12,1293,..,..
"Jõgeva maakond","2021",3789,3403,3,3401,2226,19,1156,..,..
"Jõgeva maakond","2022",4034,3642,0,3642,2425,17,1200,..,..
"Jõgeva maakond","2023",4239,3782,0,3782,2491,17,1275,..,..
"Järva maakond","1994",12590,3198,245,2953,24,2929,..,..,2179
"Järva maakond","1995",12136,3213,178,3035,16,2770,249,..,2212
"Järva maakond","1996",12157,3235,175,3060,20,3040,..,..,2110
"Järva maakond","1997",11596,2671,113,2558,15,2224,319,..,1610
"Järva maakond","1998",8883,2620,98,2522,13,2224,285,..,1794
"Järva maakond","1999",10999,2055,76,1979,8,1684,287,..,1515
"Järva maakond","2000",10892,1963,61,1902,9,1632,261,..,1396
"Järva maakond","2001",12762,1908,57,1851,5,1607,239,..,459
"Järva maakond","2002",7046,1594,16,1578,5,1350,223,..,506
"Järva maakond","2003",7206,1677,19,1658,4,1435,219,..,419
"Järva maakond","2004",8426,1917,..,1917,5,1552,359,..,473
"Järva maakond","2005",3058,1848,16,1832,5,1613,214,..,528
"Järva maakond","2006",2160,1659,..,1659,14,352,1294,..,..
"Järva maakond","2007",2509,1782,..,1782,20,425,1337,..,..
"Järva maakond","2008",3262,2120,..,2120,280,201,1639,..,..
"Järva maakond","2009",3326,2141,..,2141,342,335,1464,..,..
"Järva maakond","2010",2529,1577,5,1572,21,374,1178,..,..
"Järva maakond","2011",2949,1973,5,1968,19,361,1588,..,..
"Järva maakond","2012",3116,2849,5,2844,829,141,1874,..,..
"Järva maakond","2013",2400,2282,0,2282,677,106,1499,..,..
"Järva maakond","2014",2474,2327,0,2327,820,101,1406,..,..
"Järva maakond","2015",2838,2789,1,2787,1017,77,1693,..,..
"Järva maakond","2016",3321,3133,1,3132,1209,54,1868,..,..
"Järva maakond","2017",3564,3084,0,3084,1107,35,1942,..,..
"Järva maakond","2018",2742,2557,253,2304,798,35,1472,..,..
"Järva maakond","2019",3293,2082,18,2064,107,23,1935,..,..
"Järva maakond","2020",5686,3176,4,3171,930,16,2225,..,..
"Järva maakond","2021",6128,3217,3,3214,1494,24,1696,..,..
"Järva maakond","2022",6190,3849,14,3836,2089,80,1667,..,..
"Järva maakond","2023",7693,4711,0,4711,2481,160,2070,..,..
"Lääne maakond","1994",1633,1564,131,1433,815,614,..,4,81
"Lääne maakond","1995",1256,1200,27,1173,702,471,..,..,204
"Lääne maakond","1996",1261,1225,23,1202,642,546,..,14,198
"Lääne maakond","1997",1210,1192,35,1157,545,612,..,..,435
"Lääne maakond","1998",1132,1114,38,1076,12,589,475,..,427
"Lääne maakond","1999",959,942,14,928,37,423,468,..,150
"Lääne maakond","2000",1127,1119,17,1102,288,375,439,..,145
"Lääne maakond","2001",1071,1064,19,1045,231,338,476,..,192
"Lääne maakond","2002",924,924,0,924,219,223,482,..,208
"Lääne maakond","2003",1271,1271,..,1271,527,262,482,..,151
"Lääne maakond","2004",1419,1417,..,1417,635,278,504,..,231
"Lääne maakond","2005",1176,1204,..,1204,447,255,502,..,155
"Lääne maakond","2006",1096,782,..,782,2,260,520,..,..
"Lääne maakond","2007",1310,806,4,803,14,250,539,..,..
