"Maakond","Aasta","Kokku","Putukakahjustused","Metsloomakahjustused","Metsahaigused","Inim- ja majandustegevus","Ebasoodne veerežiim","Tuuleheide ja -murd","Metsatulekahjud","Muud kahjustused"
"Kogu Eesti","1991",380.0,94.0,116.0,29.0,41.0,..,..,12.0,88.0
"Kogu Eesti","1992",1716.4,133.9,327.1,37.0,60.5,..,51.5,1002.7,103.7
"Kogu Eesti","1993",1917.0,346.6,768.7,159.0,151.1,..,29.4,177.6,284.6
"Kogu Eesti","1994",1196.2,242.4,345.2,148.4,47.6,..,..,109.3,303.3
"Kogu Eesti","1995",935.0,277.6,284.0,39.4,67.9,..,..,47.2,219.1
"Kogu Eesti","1996",737.9,101.4,215.0,45.4,115.6,..,..,37.9,222.6
"Kogu Eesti","1997",875.9,119.6,223.5,45.9,17.3,..,..,276.5,193.1
"Kogu Eesti","1998",1085.9,16.1,244.7,169.3,..,125.0,512.0,18.8,0.0
"Kogu Eesti","1999",1048.8,0.2,338.0,183.9,0.0,183.5,209.5,133.7,0.0
"Kogu Eesti","2000",1130.3,8.6,249.5,375.9,0.0,81.8,217.7,196.8,0.0
"Kogu Eesti","2001",6151.4,26.8,323.8,678.6,..,67.6,5034.6,5.9,14.1
"Kogu Eesti","2002",5637.2,70.1,254.4,694.7,..,285.6,3923.2,302.0,107.2
"Kogu Eesti","2003",2418.3,6.8,391.0,815.2,..,95.7,642.2,41.2,426.2
"Kogu Eesti","2004",2799.5,1.3,572.9,1027.7,..,129.1,673.4,128.1,267.0
"Kogu Eesti","2005",4393.6,12.5,238.4,649.9,..,160.1,3099.8,25.0,207.9
"Kogu Eesti","2006",3483.1,4.1,389.2,635.9,..,260.1,1208.6,697.5,287.8
"Kogu Eesti","2007",2172.4,297.3,..,725.7,..,184.6,403.9,100.3,460.6
"Kogu Eesti","2008",1987.5,197.8,202.0,786.8,0.0,179.6,179.7,92.8,348.8
"Kogu Eesti","2009",1695.9,157.3,268.8,701.2,..,229.9,177.2,11.3,150.2
"Kogu Eesti","2010",3624.4,140.8,202.8,566.6,..,139.5,2461.1,6.1,107.5
"Kogu Eesti","2011",1968.2,274.7,110.9,511.6,..,155.5,784.3,15.1,116.1
"Kogu Eesti","2012",2865.7,323.5,277.9,739.2,..,150.4,1285.9,6.3,82.5
"Kogu Eesti","2013",2001.4,220.6,486.5,630.0,..,126.4,467.8,2.7,67.4
"Kogu Eesti","2014",2530.0,198.3,729.6,402.9,..,185.7,893.1,39.5,80.9
"Kogu Eesti","2015",2037.4,147.9,909.1,384.8,..,155.6,391.6,6.9,41.5
"Kogu Eesti","2016",3640.9,85.9,872.6,391.4,..,104.5,2103.7,9.3,73.5
"Kogu Eesti","2017",1640.8,41.5,630.2,334.5,..,100.1,490.4,7.2,36.9
"Kogu Eesti","2018",1461.3,47.0,525.8,386.1,..,139.4,229.6,123.3,10.2
"Kogu Eesti","2019",1676.9,360.3,480.3,413.0,..,125.0,282.1,3.8,12.4
"Kogu Eesti","2020",2313.8,607.1,541.7,453.5,..,114.9,510.3,73.5,12.9
"Kogu Eesti","2021",1481.9,419.5,412.7,290.6,..,42.3,295.5,3.3,18.0
"Kogu Eesti","2022",3059.2,1819.5,483.2,467.9,..,51.8,197.8,2.1,36.9
"Kogu Eesti","2023",3268.0,1786.8,397.3,298.1,..,24.9,714.1,11.1,35.8
"Harju maakond","1991",..,..,..,..,..,..,..,..,..
"Harju maakond","1992",..,..,..,..,..,..,..,..,..
"Harju maakond","1993",29.9,2.8,3.6,1.0,3.6,..,0.0,7.9,11.0
"Harju maakond","1994",83.0,4.4,6.3,3.2,8.0,..,..,48.1,13.0
"Harju maakond","1995",58.7,0.0,6.0,1.8,12.2,..,..,27.8,10.9
"Harju maakond","1996",25.2,0.0,1.0,7.5,2.5,..,..,2.0,12.2
"Harju maakond","1997",227.4,5.1,0.0,0.0,2.1,..,..,214.8,5.4
"Harju maakond","1998",11.8,0.0,5.5,0.7,..,0.0,5.0,0.6,0.0
"Harju maakond","1999",68.2,0.0,20.0,7.9,0.0,0.0,1.0,39.3,0.0
"Harju maakond","2000",159.0,0.0,38.2,39.3,0.0,10.0,12.2,59.3,0.0
"Harju maakond","2001",200.9,0.0,74.7,23.1,0.0,0.0,101.9,1.2,0.0
"Harju maakond","2002",279.2,0.0,61.8,46.6,..,0.0,74.8,85.1,10.9
"Harju maakond","2003",212.2,3.4,77.6,77.6,..,0.0,24.1,2.8,26.7
