"Maakond","Aasta","Kokku","Okkakahjurid","Lehekahjurid","Tüvekahjurid","Muud metsakahjurid","Juuremädanikud","Männikoorepõletik","Muud metsahaigused","Ebasoodne veerežiim","Ebasoodsad ilmaolud","Ulukite tekitatud mehaanilised kahjustused","Tuuleheide ja -murd","Metsatulekahjud","Inimtegevus","Muud põhjused"
"Kogu Eesti","1991",39209.0,548.0,122.0,660.0,1057.0,..,..,3697.0,..,..,33125.0,..,..,..,..
"Kogu Eesti","1992",38465.4,354.0,146.2,1371.0,1435.8,..,..,3340.5,..,..,31817.9,..,..,..,..
"Kogu Eesti","1993",26036.4,58.7,280.8,2128.5,1076.4,..,..,2797.3,..,..,19694.7,..,..,..,..
"Kogu Eesti","1994",22752.8,50.5,334.4,2276.8,1122.5,..,..,2358.8,..,422.7,15606.0,..,474.9,105.0,1.2
"Kogu Eesti","1995",21671.0,23.6,309.2,1875.9,1425.7,..,..,1848.6,..,370.9,15430.1,..,241.9,124.4,20.7
"Kogu Eesti","1996",20313.6,32.6,247.5,1329.3,1046.3,..,..,1503.1,..,368.0,15354.5,..,276.1,143.0,13.2
"Kogu Eesti","1997",18225.0,17.8,136.1,2206.8,1354.2,..,..,2034.8,..,349.9,11796.8,..,221.8,106.8,0.0
"Kogu Eesti","1998",13638.3,25.5,76.6,..,..,2702.6,85.5,..,1428.2,..,8071.5,569.9,279.8,0.0,398.7
"Kogu Eesti","1999",13556.1,25.6,95.5,..,..,2501.7,61.0,..,1279.9,..,7186.8,1811.0,185.1,0.0,409.5
"Kogu Eesti","2000",16781.3,14.3,631.1,..,..,2602.5,62.1,..,3302.1,..,8673.9,716.2,294.3,0.0,484.8
"Kogu Eesti","2001",20454.1,17.3,57.1,..,..,2533.5,71.7,..,3461.9,..,7659.1,6127.7,138.5,0.0,387.3
"Kogu Eesti","2002",21779.6,43.0,4.9,..,..,1985.6,1.5,..,228.1,..,1026.2,15953.0,554.8,..,1982.5
"Kogu Eesti","2003",13574.8,34.0,117.0,..,..,4279.4,0.0,..,419.3,..,2011.7,5116.8,85.7,..,1510.9
"Kogu Eesti","2004",11180.9,7.9,90.2,..,..,3757.4,2.5,..,1178.7,..,2299.5,3071.7,104.2,..,668.8
"Kogu Eesti","2005",39932.4,28.3,356.7,..,..,3722.2,33.6,..,1428.1,..,1653.5,32137.8,32.2,..,540.1
"Kogu Eesti","2006",17088.8,63.9,5.1,..,..,2647.4,1.0,..,587.1,..,1701.8,10155.0,822.1,..,1105.4
"Kogu Eesti","2007",13142.1,90.4,12.8,..,..,2804.0,17.2,..,375.4,..,2114.6,4880.5,91.1,..,2756.1
"Kogu Eesti","2008",12616.6,145.8,17.9,..,..,4391.2,..,..,595.1,..,1785.8,3291.7,152.6,..,2236.5
"Kogu Eesti","2009",10177.1,15.3,8.6,..,..,2098.3,..,..,358.8,..,1045.0,3365.2,33.9,..,3252.0
"Kogu Eesti","2010",13675.0,34.6,2.5,..,..,1981.2,..,..,277.2,..,869.2,7869.8,7.7,..,2632.9
"Kogu Eesti","2011",12969.3,57.9,3.3,..,..,1820.2,..,..,281.8,..,992.1,5266.5,18.9,..,4528.6
"Kogu Eesti","2012",19096.4,84.8,170.8,..,..,2085.0,..,..,300.0,..,1425.0,11368.0,30.0,..,3632.8
"Kogu Eesti","2013",14035.5,53.3,6.8,..,..,2003.2,..,..,226.2,..,2411.1,5725.8,26.1,..,3583.0
"Kogu Eesti","2014",20414.2,98.8,12.2,..,..,1399.7,..,..,320.1,..,5584.4,8522.4,145.2,..,4331.4
"Kogu Eesti","2015",10024.8,38.3,13.6,..,..,915.3,..,..,222.0,..,3857.1,2725.1,38.8,..,2214.6
"Kogu Eesti","2016",11273.5,7.9,1.6,..,..,759.2,..,..,174.0,..,2615.9,5700.3,194.2,..,1820.4
"Kogu Eesti","2017",5136.7,0.0,4.1,..,..,587.4,..,..,156.6,..,1871.8,1571.9,45.7,..,899.3
"Kogu Eesti","2018",2283.8,0.0,0.0,..,..,183.7,..,..,166.8,0.0,836.9,475.2,146.3,..,474.2
"Kogu Eesti","2019",2691.4,0.0,0.0,..,..,208.5,..,..,159.2,0.0,743.9,574.6,3.8,..,1000.7
"Kogu Eesti","2020",3373.6,0.2,0.0,..,..,333.1,..,..,136.1,..,675.0,928.4,111.3,..,1189.5
"Kogu Eesti","2021",2310.0,0.2,0.0,..,..,230.6,..,..,69.7,..,579.5,452.9,3.3,..,973.8
"Kogu Eesti","2022",4206.9,13.2,0.0,..,..,306.0,..,..,77.9,..,661.9,319.6,5.8,..,2822.5
"Kogu Eesti","2023",4807.0,12.1,49.9,..,..,216.6,..,..,40.9,..,675.3,1147.9,11.8,..,2652.6
"Harju maakond","1991",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Harju maakond","1992",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Harju maakond","1993",2208.4,0.0,0.0,16.1,70.0,..,..,165.1,..,..,1957.2,..,..,..,..
"Harju maakond","1994",2848.5,0.0,21.0,16.0,0.0,..,..,134.5,..,37.5,2378.5,..,249.6,11.4,0.0
"Harju maakond","1995",2866.3,0.8,10.0,4.6,89.9,..,..,185.5,..,15.5,2410.3,..,132.9,16.8,0.0
"Harju maakond","1996",2416.7,0.0,10.0,7.9,1.5,..,..,107.1,..,18.7,2147.0,..,113.7,10.8,0.0
"Harju maakond","1997",1696.2,0.0,10.0,16.7,0.0,..,..,82.3,..,21.1,1439.5,..,122.7,3.9,0.0
"Harju maakond","1998",695.7,11.2,0.0,..,..,19.2,34.0,..,4.2,..,393.2,5.0,218.8,0.0,10.1
"Harju maakond","1999",444.5,0.0,0.0,..,..,30.8,2.6,..,8.3,..,316.6,15.9,66.0,0.0,4.3
"Harju maakond","2000",941.0,3.1,0.0,..,..,52.1,2.6,..,30.2,..,688.6,36.7,107.8,0.0,19.9
"Harju maakond","2001",736.6,0.0,0.0,..,..,18.6,0.0,..,33.1,..,556.1,64.3,62.8,0.0,1.7
"Harju maakond","2002",686.9,0.0,0.0,..,..,60.8,1.5,..,0.0,..,85.2,428.7,99.8,..,10.9
"Harju maakond","2003",471.6,0.0,0.0,..,..,165.3,0.0,..,1.5,..,124.3,153.6,3.3,..,23.6
"Harju maakond","2004",406.2,0.0,0.0,..,..,176.2,0.0,..,1.0,..,149.9,37.0,0.6,..,41.5
"Harju maakond","2005",618.5,0.0,0.0,..,..,229.7,1.5,..,21.1,..,277.4,49.3,8.7,..,30.8
"Harju maakond","2006",604.7,0.0,0.0,..,..,98.4,0.0,..,2.8,..,48.6,6.0,441.8,..,7.1
"Harju maakond","2007",766.3,3.3,0.0,..,..,223.2,0.0,..,16.6,..,141.8,272.3,60.3,..,48.8
"Harju maakond","2008",464.2,1.3,0.0,..,..,143.4,..,..,21.7,..,77.1,133.1,25.8,..,61.8
"Harju maakond","2009",495.1,0.3,2.6,..,..,141.1,..,..,18.1,..,61.0,174.8,9.1,..,88.1
"Harju maakond","2010",525.8,0.0,0.0,..,..,168.4,..,..,11.9,..,88.6,153.2,1.5,..,102.2
"Harju maakond","2011",958.5,0.8,0.0,..,..,262.3,..,..,10.1,..,79.7,266.7,4.9,..,334.0
"Harju maakond","2012",1235.5,7.9,12.7,..,..,170.8,..,..,10.0,..,141.7,589.5,14.2,..,288.7
"Harju maakond","2013",737.5,1.5,3.7,..,..,137.5,..,..,16.2,..,197.4,158.2,3.0,..,220.0
"Harju maakond","2014",1514.2,11.2,0.0,..,..,186.5,..,..,21.0,..,530.1,414.4,53.7,..,297.3
"Harju maakond","2015",803.2,0.0,0.0,..,..,111.5,..,..,12.2,..,438.7,97.4,25.1,..,118.3
"Harju maakond","2016",497.7,0.0,0.4,..,..,66.7,..,..,7.0,..,252.0,57.3,42.9,..,71.4
"Harju maakond","2017",276.7,0.0,0.0,..,..,38.1,..,..,10.9,..,103.0,59.2,0.0,..,65.5
"Harju maakond","2018",299.0,0.0,0.0,..,..,8.4,..,..,7.1,..,162.2,9.8,103.5,..,8.0
"Harju maakond","2019",100.1,0.0,0.0,..,..,2.0,..,..,0.4,..,62.1,6.5,0.5,..,28.6
"Harju maakond","2020",196.1,0.0,0.0,..,..,19.1,..,..,0.6,..,41.4,25.0,50.7,..,59.4
"Harju maakond","2021",125.9,0.0,0.0,..,..,9.5,..,..,1.7,..,59.6,4.2,0.0,..,50.9
"Harju maakond","2022",177.3,0.0,0.0,..,..,7.8,..,..,2.4,..,88.0,15.8,0.0,..,63.3
"Harju maakond","2023",298.0,0.0,0.0,..,..,2.6,..,..,7.8,..,183.8,26.0,0.0,..,77.7
"Hiiu maakond","1991",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hiiu maakond","1992",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hiiu maakond","1993",360.8,0.0,57.0,0.0,8.2,..,..,295.6,..,..,0.0,..,..,..,..
"Hiiu maakond","1994",367.8,0.0,0.0,63.5,0.0,..,..,300.5,..,3.8,0.0,..,0.0,0.0,0.0
"Hiiu maakond","1995",352.2,0.0,0.0,57.8,0.0,..,..,162.9,..,13.2,118.3,..,0.0,0.0,0.0
"Hiiu maakond","1996",363.7,9.8,0.0,69.9,0.0,..,..,150.1,..,15.6,118.3,..,0.0,0.0,0.0
"Hiiu maakond","1997",1264.5,0.0,0.0,680.3,0.0,..,..,97.9,..,29.0,453.2,..,0.0,4.1,0.0
"Hiiu maakond","1998",1196.0,0.0,0.0,..,..,692.3,0.0,..,25.1,..,396.2,1.4,4.6,0.0,76.4
"Hiiu maakond","1999",1197.2,0.0,0.0,..,..,684.8,0.0,..,25.7,..,405.4,1.4,4.6,0.0,75.3
"Hiiu maakond","2000",1143.0,0.0,0.0,..,..,657.2,0.0,..,26.7,..,384.9,0.0,4.6,0.0,69.6
"Hiiu maakond","2001",1157.8,0.0,0.0,..,..,645.6,0.0,..,26.7,..,384.9,30.1,4.6,0.0,65.9
"Hiiu maakond","2002",144.3,0.0,0.0,..,..,2.5,0.0,..,0.0,..,20.8,111.2,4.3,..,5.5
"Hiiu maakond","2003",56.6,0.0,0.0,..,..,7.9,0.0,..,0.0,..,24.3,23.9,0.0,..,0.5
"Hiiu maakond","2004",156.9,0.0,86.0,..,..,19.9,0.0,..,0.8,..,33.1,14.3,0.0,..,2.8
"Hiiu maakond","2005",805.3,0.0,343.0,..,..,4.7,0.0,..,0.0,..,4.8,445.5,0.0,..,7.3
"Hiiu maakond","2006",192.0,0.0,0.0,..,..,10.8,0.0,..,2.3,..,33.2,141.4,2.0,..,2.3
"Hiiu maakond","2007",267.1,0.0,0.0,..,..,35.5,0.0,..,0.0,..,11.5,211.2,0.0,..,8.9
"Hiiu maakond","2008",478.0,0.0,0.0,..,..,43.5,..,..,0.0,..,297.6,93.1,0.0,..,43.8
"Hiiu maakond","2009",120.1,0.0,0.0,..,..,0.9,..,..,0.0,..,44.3,17.5,0.0,..,57.4
"Hiiu maakond","2010",31.2,0.0,0.0,..,..,3.6,..,..,0.0,..,26.3,0.0,0.0,..,1.3
"Hiiu maakond","2011",4.8,0.0,0.0,..,..,2.9,..,..,1.9,..,0.0,0.0,0.0,..,0.0
"Hiiu maakond","2012",47.2,0.0,0.0,..,..,1.2,..,..,0.0,..,43.8,2.2,0.0,..,0.0
"Hiiu maakond","2013",20.3,0.0,0.0,..,..,1.0,..,..,1.0,..,18.3,0.0,0.0,..,0.0
"Hiiu maakond","2014",116.7,0.2,0.0,..,..,28.3,..,..,10.4,..,18.2,10.1,3.5,..,46.0
"Hiiu maakond","2015",9.4,0.0,0.0,..,..,0.6,..,..,0.0,..,2.3,0.0,0.0,..,6.5
"Hiiu maakond","2016",23.0,0.0,0.0,..,..,0.0,..,..,0.0,..,8.1,12.0,0.0,..,2.9
"Hiiu maakond","2017",31.9,0.0,1.2,..,..,8.1,..,..,0.0,..,11.4,2.1,0.0,..,9.1
"Hiiu maakond","2018",0.3,0.0,0.0,..,..,0.0,..,..,0.0,..,0.3,0.0,0.0,..,0.0
"Hiiu maakond","2019",10.0,0.0,0.0,..,..,2.4,..,..,0.0,..,0.0,4.6,0.0,..,3.0
"Hiiu maakond","2020",29.8,0.0,0.0,..,..,0.0,..,..,0.0,..,0.0,29.8,0.0,..,0.0
"Hiiu maakond","2021",12.0,0.0,0.0,..,..,4.5,..,..,0.0,..,0.0,5.2,0.0,..,2.3
"Hiiu maakond","2022",8.5,0.0,0.0,..,..,0.0,..,..,0.0,..,0.0,7.0,0.0,..,1.5
"Hiiu maakond","2023",7.8,0.0,0.0,..,..,3.4,..,..,0.0,..,0.0,3.9,0.0,..,0.5
"Ida-Viru maakond","1991",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Ida-Viru maakond","1992",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Ida-Viru maakond","1993",2395.9,0.0,0.0,52.6,356.3,..,..,73.8,..,..,1913.2,..,..,..,..
"Ida-Viru maakond","1994",2348.3,0.0,0.0,35.6,363.8,..,..,56.2,..,52.1,1822.4,..,12.0,6.2,0.0
"Ida-Viru maakond","1995",2363.6,0.0,0.0,42.6,439.6,..,..,33.5,..,29.0,1793.0,..,7.7,18.2,0.0
"Ida-Viru maakond","1996",3913.5,0.0,0.0,81.9,268.8,..,..,169.6,..,139.3,3191.4,..,32.7,25.9,3.9
"Ida-Viru maakond","1997",2234.4,0.0,0.0,18.7,130.0,..,..,137.4,..,63.7,1822.0,..,40.5,22.1,0.0
"Ida-Viru maakond","1998",2250.4,0.0,0.0,..,..,48.6,0.0,..,139.8,..,1832.8,93.9,6.0,0.0,129.3
"Ida-Viru maakond","1999",2056.6,0.0,0.0,..,..,53.6,0.0,..,150.3,..,1614.8,73.5,38.3,0.0,126.1
"Ida-Viru maakond","2000",1985.5,0.0,0.0,..,..,43.7,0.0,..,239.0,..,1499.5,39.9,46.0,0.0,117.4
"Ida-Viru maakond","2001",3012.6,0.0,0.0,..,..,43.9,0.0,..,261.5,..,1410.9,1194.7,32.7,0.0,68.9
"Ida-Viru maakond","2002",1708.9,0.0,4.9,..,..,14.6,0.0,..,9.9,..,24.7,1439.8,184.2,..,30.8
"Ida-Viru maakond","2003",797.5,0.0,0.0,..,..,7.5,0.0,..,74.8,..,107.0,551.7,30.5,..,26.0
"Ida-Viru maakond","2004",677.0,0.0,0.0,..,..,51.2,2.5,..,436.4,..,57.3,28.9,7.2,..,93.5
