"Aasta","Taimekaitsevahend","Kogus","Kogus põllumajandusmaa hektari kohta","Kogus haritava maa hektari kohta","Kogus töödeldud hektari kohta"
"1997","Taimekaitsevahendid kokku",199424.00,0.25,0.27,..
"1997","Putukatõrjevahendid",1945.00,0.00,0.00,0.14
"1997","Seenhaiguste tõrjevahendid",8168.00,0.01,0.01,0.84
"1997","Umbrohutõrjevahendid",171620.00,0.21,0.24,0.69
"1997","Puhtimispreparaadid",9506.00,0.01,0.01,0.32
"1997","Kasvuregulaatorid",8119.00,0.01,0.01,0.88
"1997","Desikandid",66.00,0.00,0.00,0.80
"1997","Molluskitsiidid",..,..,..,..
"1998","Taimekaitsevahendid kokku",195176.00,0.22,0.25,..
"1998","Putukatõrjevahendid",1648.00,0.00,0.00,0.13
"1998","Seenhaiguste tõrjevahendid",10068.00,0.01,0.01,0.63
"1998","Umbrohutõrjevahendid",166712.00,0.19,0.21,0.60
"1998","Puhtimispreparaadid",7187.00,0.01,0.01,0.18
"1998","Kasvuregulaatorid",9427.00,0.01,0.01,0.69
"1998","Desikandid",144.00,0.00,0.00,1.36
"1998","Molluskitsiidid",..,..,..,..
"1999","Taimekaitsevahendid kokku",187029.00,0.22,0.24,..
"1999","Putukatõrjevahendid",2731.00,0.00,0.00,0.09
"1999","Seenhaiguste tõrjevahendid",6598.00,0.01,0.01,0.76
"1999","Umbrohutõrjevahendid",167177.00,0.20,0.22,0.62
"1999","Puhtimispreparaadid",4163.00,0.01,0.01,0.11
"1999","Kasvuregulaatorid",6257.00,0.01,0.01,0.80
"1999","Desikandid",103.00,0.00,0.00,1.47
"1999","Molluskitsiidid",..,..,..,..
"2000","Taimekaitsevahendid kokku",305566.00,0.36,0.41,..
"2000","Putukatõrjevahendid",2803.00,0.00,0.00,0.17
"2000","Seenhaiguste tõrjevahendid",13308.00,0.02,0.02,0.63
"2000","Umbrohutõrjevahendid",274967.00,0.33,0.37,0.69
"2000","Puhtimispreparaadid",7358.00,0.01,0.01,0.18
"2000","Kasvuregulaatorid",6954.00,0.01,0.01,0.68
"2000","Desikandid",176.00,0.00,0.00,1.06
"2000","Molluskitsiidid",..,..,..,..
"2001","Taimekaitsevahendid kokku",328183.00,0.38,0.48,..
"2001","Putukatõrjevahendid",2855.00,0.00,0.00,0.15
"2001","Seenhaiguste tõrjevahendid",11899.00,0.01,0.02,0.87
"2001","Umbrohutõrjevahendid",298061.00,0.34,0.43,0.74
"2001","Puhtimispreparaadid",6641.00,0.01,0.01,0.16
"2001","Kasvuregulaatorid",8705.00,0.01,0.01,0.76
"2001","Desikandid",23.00,0.00,0.00,0.48
"2001","Molluskitsiidid",..,..,..,..
"2002","Taimekaitsevahendid kokku",267200.59,0.39,0.43,..
"2002","Putukatõrjevahendid",5836.81,0.01,0.01,0.08
"2002","Seenhaiguste tõrjevahendid",19059.06,0.03,0.03,0.42
"2002","Umbrohutõrjevahendid",210800.73,0.31,0.34,0.68
"2002","Puhtimispreparaadid",10361.34,0.02,0.02,0.21
"2002","Kasvuregulaatorid",21124.65,0.03,0.03,0.61
"2002","Desikandid",18.00,0.00,0.00,0.30
"2002","Molluskitsiidid",..,..,..,..
"2003","Taimekaitsevahendid kokku",321325.00,0.41,0.59,..
"2003","Putukatõrjevahendid",5648.00,0.01,0.01,0.11
"2003","Seenhaiguste tõrjevahendid",24113.00,0.03,0.05,0.58
"2003","Umbrohutõrjevahendid",268422.00,0.34,0.50,1.06
"2003","Puhtimispreparaadid",5374.00,0.01,0.01,0.13
"2003","Kasvuregulaatorid",17763.00,0.02,0.03,0.58
"2003","Desikandid",5.00,0.00,0.00,0.50
"2003","Molluskitsiidid",..,..,..,..
"2004","Taimekaitsevahendid kokku",244600.00,0.31,0.32,..
"2004","Putukatõrjevahendid",1531.00,0.00,0.00,..
