"Aasta","Maakond","Kultuur","Taimekaitsevahendid kokku Kogus","Taimekaitsevahendid kokku Kogus töödeldud hektari kohta","Putukatõrjevahendid Kogus","Putukatõrjevahendid Kogus töödeldud hektari kohta","Seenhaiguste tõrjevahendid Kogus","Seenhaiguste tõrjevahendid Kogus töödeldud hektari kohta","Umbrohutõrjevahendid Kogus","Umbrohutõrjevahendid Kogus töödeldud hektari kohta","Puhtimispreparaadid Kogus","Puhtimispreparaadid Kogus töödeldud hektari kohta","Kasvuregulaatorid Kogus","Kasvuregulaatorid Kogus töödeldud hektari kohta","Desikandid Kogus","Desikandid Kogus töödeldud hektari kohta","Molluskitsiidid Kogus","Molluskitsiidid Kogus töödeldud hektari kohta"
"2002","Kogu Eesti","Kultuurid kokku",267200.60,..,5836.80,0.08,19059.10,0.42,210800.70,0.68,10361.30,0.21,21124.70,0.61,18.00,0.30,..,..
"2002","Kogu Eesti","Teravili",199318.50,..,3404.30,0.08,10606.70,0.28,154262.60,0.62,9920.40,0.21,21124.70,0.61,0.00,0.00,..,..
"2002","Kogu Eesti","Kaunvili",1851.60,..,63.20,0.09,36.60,0.92,1745.50,0.85,6.30,0.12,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Kartul",8960.10,..,333.10,0.14,7273.80,2.14,1082.00,0.29,271.20,0.13,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Söödakultuurid",5823.50,..,18.20,0.07,3.00,0.13,5767.50,0.83,16.90,0.44,0.00,0.00,18.00,0.30,..,..
"2002","Kogu Eesti","Tehnilised kultuurid",39508.60,..,1461.40,0.07,1027.50,0.35,36873.10,0.82,146.60,0.16,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Avamaaköögivili",1454.30,..,421.10,0.36,0.00,0.00,1033.20,1.05,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Katmikkultuurid",67.10,..,33.50,2.02,33.60,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Viljapuud ja marjapõõsad",115.50,..,81.40,0.28,16.10,0.11,18.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Maasikad",314.30,..,19.80,0.20,61.90,0.69,232.60,2.94,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Kogu Eesti","Muud kultuurid",9787.10,..,0.90,0.24,0.00,0.00,9786.20,1.87,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Kultuurid kokku",24305.50,..,735.40,0.10,2016.70,0.47,19070.00,0.85,789.90,0.18,1685.50,0.68,8.00,0.30,..,..
"2002","Harju maakond","Teravili",17391.10,..,275.50,0.07,814.90,0.26,13902.10,0.86,713.10,0.19,1685.50,0.68,0.00,0.00,..,..
"2002","Harju maakond","Kaunvili",282.90,..,0.30,0.01,0.00,0.00,276.40,0.59,6.30,0.12,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Kartul",1538.40,..,9.80,0.02,1113.20,1.45,353.50,0.57,61.90,0.13,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Söödakultuurid",672.60,..,6.80,0.10,3.00,0.13,654.90,0.68,0.00,0.00,0.00,0.00,8.00,0.30,..,..
"2002","Harju maakond","Tehnilised kultuurid",2365.20,..,43.40,0.03,68.50,0.20,2244.70,0.83,8.60,0.15,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Avamaaköögivili",949.20,..,389.60,0.38,0.00,0.00,559.60,0.91,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Katmikkultuurid",27.20,..,10.10,1.65,17.20,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Viljapuud ja marjapõõsad",0.00,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Maasikad",0.00,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Harju maakond","Muud kultuurid",1078.80,..,0.00,0.00,0.00,0.00,1078.80,1.19,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Kultuurid kokku",341.00,..,4.80,0.19,106.20,2.81,215.00,0.36,2.60,0.11,12.40,0.89,0.00,0.00,..,..
"2002","Hiiu maakond","Teravili",118.10,..,0.70,0.08,1.50,0.11,102.40,0.22,1.10,0.10,12.40,0.89,0.00,0.00,..,..
"2002","Hiiu maakond","Kaunvili",0.00,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Kartul",105.70,..,1.90,0.17,101.50,4.40,0.90,0.05,1.50,0.13,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Söödakultuurid",45.10,..,0.00,0.00,0.00,0.00,45.10,0.71,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Tehnilised kultuurid",0.00,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Avamaaköögivili",37.40,..,0.10,0.02,0.00,0.00,37.30,1.49,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Katmikkultuurid",5.20,..,2.00,2.04,3.20,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Viljapuud ja marjapõõsad",0.30,..,0.20,0.28,0.00,0.09,0.10,2.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Maasikad",0.00,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Hiiu maakond","Muud kultuurid",29.40,..,0.00,0.00,0.00,0.00,29.40,1.44,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Ida-Viru maakond","Kultuurid kokku",4562.60,..,266.40,0.29,351.00,0.87,3752.80,0.66,97.80,0.32,94.60,0.52,0.00,0.00,..,..
"2002","Ida-Viru maakond","Teravili",3286.70,..,146.00,0.50,95.60,0.39,2861.00,0.67,89.60,0.37,94.60,0.52,0.00,0.00,..,..
"2002","Ida-Viru maakond","Kaunvili",0.80,..,0.10,0.10,0.00,0.00,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Ida-Viru maakond","Kartul",268.80,..,13.30,0.17,228.90,2.48,20.90,0.16,5.60,0.13,0.00,0.00,0.00,0.00,..,..
"2002","Ida-Viru maakond","Söödakultuurid",71.50,..,0.00,0.00,0.00,0.00,71.50,0.36,0.00,0.00,0.00,0.00,0.00,0.00,..,..
"2002","Ida-Viru maakond","Tehnilised kultuurid",855.10,..,105.90,0.20,25.70,0.40,721.00,0.71,2.60,0.15,0.00,0.00,0.00,0.00,..,..
"2002","Ida-Viru maakond","Avamaaköögivili",28.70,..,0.90,0.20,0.00,0.00,27.70,2.47,0.00,0.00,0.00,0.00,0.00,0.00,..,..
