Kuupäev,Maakond,Üraskite keskmine arv
4/18/2023,Harjumaa,0
4/18/2023,Ida-Virumaa,0
4/18/2023,Jõgevamaa,0
4/18/2023,Järvamaa,0
4/18/2023,Lääne-Virumaa,0
4/18/2023,Läänemaa,0
4/18/2023,Põlvamaa,0
4/18/2023,Pärnumaa,0
4/18/2023,Raplamaa,0
4/18/2023,Tartumaa,0
4/18/2023,Valgamaa,30
4/18/2023,Viljandimaa,0
4/18/2023,Võrumaa,45
4/25/2023,Harjumaa,45
4/25/2023,Ida-Virumaa,79
4/25/2023,Jõgevamaa,731
4/25/2023,Järvamaa,416
4/25/2023,Lääne-Virumaa,90
4/25/2023,Läänemaa,506
4/25/2023,Põlvamaa,1350
4/25/2023,Pärnumaa,1238
4/25/2023,Raplamaa,146
4/25/2023,Tartumaa,675
4/25/2023,Valgamaa,1294
4/25/2023,Viljandimaa,956
4/25/2023,Võrumaa,9113
5/2/2023,Harjumaa,45
5/2/2023,Ida-Virumaa,11
5/2/2023,Jõgevamaa,844
5/2/2023,Järvamaa,495
5/2/2023,Lääne-Virumaa,56
5/2/2023,Läänemaa,338
5/2/2023,Põlvamaa,900
5/2/2023,Pärnumaa,1406
5/2/2023,Raplamaa,
5/2/2023,Tartumaa,788
5/2/2023,Valgamaa,68
5/2/2023,Viljandimaa,371
5/2/2023,Võrumaa,2025
5/9/2023,Harjumaa,11
5/9/2023,Ida-Virumaa,46
5/9/2023,Jõgevamaa,23
5/9/2023,Järvamaa,460
5/9/2023,Lääne-Virumaa,0
5/9/2023,Läänemaa,280
5/9/2023,Põlvamaa,135
5/9/2023,Pärnumaa,23
5/9/2023,Raplamaa,34
5/9/2023,Tartumaa,35
5/9/2023,Valgamaa,79
5/9/2023,Viljandimaa,68
5/9/2023,Võrumaa,506
5/16/2023,Harjumaa,1913
5/16/2023,Ida-Virumaa,4275
5/16/2023,Jõgevamaa,5063
5/16/2023,Järvamaa,5288
5/16/2023,Lääne-Virumaa,675
5/16/2023,Läänemaa,540
5/16/2023,Põlvamaa,5738
5/16/2023,Pärnumaa,6188
5/16/2023,Raplamaa,2701
5/16/2023,Tartumaa,3938
5/16/2023,Valgamaa,1688
5/16/2023,Viljandimaa,9003
5/16/2023,Võrumaa,14625
5/23/2023,Harjumaa,686
5/23/2023,Ida-Virumaa,1463
5/23/2023,Jõgevamaa,787
5/23/2023,Järvamaa,1013
5/23/2023,Lääne-Virumaa,506
5/23/2023,Läänemaa,1801
5/23/2023,Põlvamaa,4499
5/23/2023,Pärnumaa,2306
5/23/2023,Raplamaa,1688
5/23/2023,Tartumaa,781
5/23/2023,Valgamaa,675
5/23/2023,Viljandimaa,1406
5/23/2023,Võrumaa,4050
5/30/2023,Harjumaa,416
5/30/2023,Ida-Virumaa,675
5/30/2023,Jõgevamaa,956
5/30/2023,Järvamaa,903
5/30/2023,Lääne-Virumaa,393
5/30/2023,Läänemaa,439
5/30/2023,Põlvamaa,3713
5/30/2023,Pärnumaa,855
5/30/2023,Raplamaa,1238
5/30/2023,Tartumaa,1126
5/30/2023,Valgamaa,394
5/30/2023,Viljandimaa,361
5/30/2023,Võrumaa,1573
6/6/2023,Harjumaa,23
6/6/2023,Ida-Virumaa,56
6/6/2023,Jõgevamaa,23
6/6/2023,Järvamaa,68
6/6/2023,Lääne-Virumaa,11
6/6/2023,Läänemaa,158
6/6/2023,Põlvamaa,619
6/6/2023,Pärnumaa,
6/6/2023,Raplamaa,33
6/6/2023,Tartumaa,34
6/6/2023,Valgamaa,5
6/6/2023,Viljandimaa,4
6/6/2023,Võrumaa,101
6/13/2023,Harjumaa,731
6/13/2023,Ida-Virumaa,563
6/13/2023,Jõgevamaa,3599
6/13/2023,Järvamaa,1294
6/13/2023,Lääne-Virumaa,46
6/13/2023,Läänemaa,4556
6/13/2023,Põlvamaa,4275
6/13/2023,Pärnumaa,4388
6/13/2023,Raplamaa,4501
6/13/2023,Tartumaa,630
6/13/2023,Valgamaa,506
6/13/2023,Viljandimaa,5063
6/13/2023,Võrumaa,1294
6/20/2023,Harjumaa,1350
6/20/2023,Ida-Virumaa,3602
6/20/2023,Jõgevamaa,1798
6/20/2023,Järvamaa,2813
6/20/2023,Lääne-Virumaa,281
6/20/2023,Läänemaa,3375
6/20/2023,Põlvamaa,3713
6/20/2023,Pärnumaa,3487
6/20/2023,Raplamaa,4725
6/20/2023,Tartumaa,2699
6/20/2023,Valgamaa,1050
6/20/2023,Viljandimaa,5119
6/20/2023,Võrumaa,439
6/27/2023,Harjumaa,731
6/27/2023,Ida-Virumaa,113
6/27/2023,Jõgevamaa,304
6/27/2023,Järvamaa,1744
6/27/2023,Lääne-Virumaa,278
6/27/2023,Läänemaa,3825
6/27/2023,Põlvamaa,1462
6/27/2023,Pärnumaa,2025
6/27/2023,Raplamaa,2588
6/27/2023,Tartumaa,506
6/27/2023,Valgamaa,729
6/27/2023,Viljandimaa,2531
6/27/2023,Võrumaa,956
7/4/2023,Harjumaa,619
7/4/2023,Ida-Virumaa,56
7/4/2023,Jõgevamaa,956
7/4/2023,Järvamaa,900
7/4/2023,Lääne-Virumaa,79
7/4/2023,Läänemaa,2081
7/4/2023,Põlvamaa,1125
7/4/2023,Pärnumaa,2194
7/4/2023,Raplamaa,2756
7/4/2023,Tartumaa,563
7/4/2023,Valgamaa,1275
7/4/2023,Viljandimaa,731
7/4/2023,Võrumaa,619
7/11/2023,Harjumaa,225
7/11/2023,Ida-Virumaa,45
7/11/2023,Jõgevamaa,394
7/11/2023,Järvamaa,389
7/11/2023,Lääne-Virumaa,34
7/11/2023,Läänemaa,563
7/11/2023,Põlvamaa,616
7/11/2023,Pärnumaa,507
7/11/2023,Raplamaa,1013
7/11/2023,Tartumaa,248
7/11/2023,Valgamaa,623
7/11/2023,Viljandimaa,
7/11/2023,Võrumaa,385
7/18/2023,Harjumaa,1688
7/18/2023,Ida-Virumaa,786
7/18/2023,Jõgevamaa,1069
7/18/2023,Järvamaa,788
7/18/2023,Lääne-Virumaa,68
7/18/2023,Läänemaa,2813
7/18/2023,Põlvamaa,1631
7/18/2023,Pärnumaa,2757
7/18/2023,Raplamaa,1632
7/18/2023,Tartumaa,789
7/18/2023,Valgamaa,731
7/18/2023,Viljandimaa,3713
7/18/2023,Võrumaa,1069
7/25/2023,Harjumaa,563
7/25/2023,Ida-Virumaa,450
7/25/2023,Jõgevamaa,180
7/25/2023,Järvamaa,769
7/25/2023,Lääne-Virumaa,45
7/25/2023,Läänemaa,293
7/25/2023,Põlvamaa,557
7/25/2023,Pärnumaa,779
7/25/2023,Raplamaa,146
7/25/2023,Tartumaa,248
7/25/2023,Valgamaa,124
7/25/2023,Viljandimaa,158
7/25/2023,Võrumaa,338
8/1/2023,Harjumaa,336
8/1/2023,Ida-Virumaa,203
8/1/2023,Jõgevamaa,315
8/1/2023,Järvamaa,56
8/1/2023,Lääne-Virumaa,77
8/1/2023,Läänemaa,1238
8/1/2023,Põlvamaa,675
8/1/2023,Pärnumaa,956
8/1/2023,Raplamaa,35
8/1/2023,Tartumaa,23
8/1/2023,Valgamaa,58
8/1/2023,Viljandimaa,754
8/1/2023,Võrumaa,270
8/8/2023,Harjumaa,675
8/8/2023,Ida-Virumaa,506
